route,kind,inlinks_from_main,outlinks
/turf-replacement/st-cloud/,cityservice,5,47
/vacation-rental-turf/,service,23,57
/vacation-rental-turf/buenaventura-lakes/,cityservice,8,48
/vacation-rental-turf/celebration/,cityservice,6,47
/vacation-rental-turf/championsgate/,cityservice,7,48
/vacation-rental-turf/davenport/,cityservice,5,47
/vacation-rental-turf/four-corners/,cityservice,6,48
/vacation-rental-turf/hunters-creek/,cityservice,6,47
/vacation-rental-turf/kissimmee/,cityservice,8,48
/vacation-rental-turf/lake-nona/,cityservice,4,47
/vacation-rental-turf/poinciana/,cityservice,5,50
/vacation-rental-turf/st-cloud/,cityservice,5,47
